Title,Description,Issue ID,URL,State,Author,Author Username,Assignee,Assignee Username,Confidential,Locked,Due Date,Created At (UTC),Updated At (UTC),Closed At (UTC),Milestone,Weight,Labels,Time Estimate,Time Spent,Epic ID,Epic Title
Retro und Sprint_03_1 Planning - 20.06.2023,"Anlegen des Protokolls in Form vom Vorbereiten und Nachbereiten des Meetings.
Außerdem wird hier die Zeit erfasst die für die Teilnahme aufgewendet wurde.

**DoD**
- [x] Das Meeting hat stattgefunden
- [x] Das [Protokoll](https://gitlab.dit.htwk-leipzig.de/groups/live-stream-editor-zur-korrektur-von-untertiteln/-/wikis/Minutes/Sprint_03_1/2023_06_20Retrospective_SprintPlanning) ist erstellt und beinhaltet alle wichtigen Entscheidungen, Fragen und Antworten, sowie die für das Meeting relevante Agenda",102,https://gitlab.dit.htwk-leipzig.de/live-stream-editor-zur-korrektur-von-untertiteln/documentation/-/issues/102,Closed,Benedikt Beigang,bbeigang,Benedikt Beigang,bbeigang,No,No,,2023-06-14 13:53:52,2023-07-09 17:01:24,2023-06-26 13:54:49,👂Sprint_03_1,2,"Documentation,Meeting",0,75600,,
Customer Talk - 23.06.2023,"Anlegen des Protokolls in Form vom Vorbereiten und Nachbereiten des Meetings.
Außerdem wird hier die Zeit erfasst die für die Teilnahme aufgewendet wurde.

**DoD**
- [x] Das Meeting hat stattgefunden
- [x] Das [Protokoll](https://gitlab.dit.htwk-leipzig.de/groups/live-stream-editor-zur-korrektur-von-untertiteln/-/wikis/Minutes/CustomerTalk/2023_06_23) ist erstellt und beinhaltet alle wichtigen Entscheidungen, Fragen und Antworten, sowie die für das Meeting relevante Agenda",103,https://gitlab.dit.htwk-leipzig.de/live-stream-editor-zur-korrektur-von-untertiteln/documentation/-/issues/103,Closed,Benedikt Beigang,bbeigang,Benedikt Beigang,bbeigang,No,No,,2023-06-14 13:55:17,2023-06-28 13:59:36,2023-06-26 13:53:58,👂Sprint_03_1,2,"Documentation,Meeting",0,2760,,
MVP Übersicht für Kunden,"Als Kunde möchte ich eine Übersicht über den geplanten Verlauf des Projekts, sodass ich weiß mit welchen Features ich wann rechnen kann.

---

**DoD**

- [x] Mermaid-Diagramm über geplante Features
- [x] Auflistung der MVP-Features und deren Fortschritt in Form von Häckchen
- [x] Update des Wireframes mit aktueller Vision",104,https://gitlab.dit.htwk-leipzig.de/live-stream-editor-zur-korrektur-von-untertiteln/documentation/-/issues/104,Closed,Benedikt Beigang,bbeigang,Benedikt Beigang,bbeigang,No,No,,2023-06-18 20:36:35,2023-06-23 11:39:05,2023-06-23 11:39:05,👂Sprint_03_1,2,"Documentation,Frontend",0,15300,,
Abgabe des Sprint 3 fertig machen,"Als Professor möchte ich nach dem Sprint 2 eine aktualisierte Projektleitdokumentation haben, sodass ich am Ende des Semesters die Arbeit der Entwickler und Projektleiter bewerten kann.

---

**Anmerkungen**

**DoD**
- [x] Steckbrief angefertigt
- [x] MVP Anleitung
- [x] Stakeholder über Sprint_03 Review informiert
- [x] Raum organisiert für Review
- [x] MVP-Feature Übersicht für Stakeholder geupdated
- [x] Projektleitdokumentation aktualisieren
   - [x] Challenge Register 
   - [x] Follow-Up Register 
   - [x] Rollen und Verantwortlichkeiten
   - [x] Projektbeschreibung
   - [x] Health Register
- [x] Links
   - [x] laufähiges MVP, mit Beschreibung wie dieser funktioniert (häufig URL die zu WebAdresse zeigt)
   - [x] Dockerfile (ggf. Docker-compose.yml), mit Handbuch wie diese zu verwenden ist, damit Profs. diese lokal laufen lassen können.
   - [x] Design-Thinking-Prototypen oder Mockup der Grundlage für Piloten war (Funktionalitäten müssen nicht vollständig umgesetzt werden)
   - [x] GitLab Action, mit der Projektergebnis automatisch bei Push zum `main` erstellt wird.
- [x] Aktualisierung
   - [x] Problemdefinition
   - [x] Produktvision
   - [x] User-Stories, welche mit dem Piloten Anwendung erfüllt wurden
- [x] Falls Beiträge einzelner Personen nicht direkt erkennbar sind, angeben besonderer Aktivitäten/Beiträge bestimmter Personen. (Nur falls präzise Erkennbar, mit Link) 
- [x] Issues exportiert
- [x] Abschlusspräsentation vorbereitet
- [x] Es wurde als aller letztes der git-tag: `sprint 3` gesetzt",105,https://gitlab.dit.htwk-leipzig.de/live-stream-editor-zur-korrektur-von-untertiteln/documentation/-/issues/105,Closed,Benedikt Beigang,bbeigang,"Benedikt Beigang, Luca Noack","bbeigang, lnoack",No,No,2023-07-10,2023-06-20 06:28:25,2023-07-09 21:26:49,2023-07-09 21:26:49,👂Sprint_03_1,5,Documentation,0,35100,76,MVP Features
Abschlusspräsentation vorbereiten,"

---

**Anmerkungen**



**DoD**
- [x] Poster ist angefertigt
- [x] Video wurde erstellen
- [x] Kurze Darstellung des Projekts für die Veröffentlichung auf der Webseite
- [x] Technik für Stand organisieren",106,https://gitlab.dit.htwk-leipzig.de/live-stream-editor-zur-korrektur-von-untertiteln/documentation/-/issues/106,Closed,Benedikt Beigang,bbeigang,Benedikt Beigang,bbeigang,No,No,2023-07-10,2023-06-20 06:41:59,2023-07-09 16:21:56,2023-07-09 16:21:56,👂Sprint_03_1,1,Documentation,0,0,76,MVP Features
Erstellung eines Posters,"Das Poster wird bei der Abschlusspräsentation am Stand Ihres Teams ausgestellt. 

Typischerweise beinhaltet ein wissenschaftliches Poster mindestens die folgenden Informationen:

- Motivation und Zielstellung (Warum?): Produktvision, verständliche Beschreibung der Aufgabe, wichtigsten Anforderungen
- Vorgehen (Wie?): Hier wird der Ansatz und die Lösungsidee beschrieben. Wie (Methoden, Technologien) wird etwas gelöst?
- Erkenntnisse, Ergebnisse und nächste Schritte (Was wurde erreicht?): aktuelle Funktionalitäten (User Stories), Screenshots, geplante Schritte

Grundsätzlich gilt: Überlegen Sie sich, was eine Person im Allgemeinen über das Projekt wissen sollte (Elevator Pitch) und die wichtigsten/herausragenden Aspekte Ihres Projektes. Für beides sollte Ihr Poster als Unterstützung bzw. Grundlage für eine Erklärung dienen, wenn Sie es mündlich vorstellen. Gleichzeitig muss ein Poster aber in sich abgeschlossen sein und sollte idealerweise auch einige Fragen provozieren.

---

**Anmerkungen**

- Poster werden (nach Abschlussveranstaltung) im Zusebau ausgestellt
- Druck übernimmt Herr Höppner, dieser wird Poster vor Veranstaltung aushändigen
- Poster geht in Bewertung ein
- Verständliche Darstellung für verschiedene Nutzergruppen
   - Bilder sagen manchmal mehr als Worte.
- Gestaltung gerne mit Corporate Design der HTWK: https://www.htwk-leipzig.de/intern/kommunikation-marketing/logo-und-vorlagen-im-corporate-design/#c95542 
- Nicht Demo der Anwendung auf Poster duplizieren. Sie erhalten einen Tisch, sodass Demo vorgeführt werden kann
- keine Matrikelnummern
- wenn möglich keine Nutzung von übereinanderliegenden Transparenzen, da diese durch Plotter ungenau/niederqualitativ gedruckt werden


**DoD**
- [x] PDF-Datei mit DPI-Zahl von 300 oder 600
- [x] Projektkennzeichen (Buchstabe O) am rechten oberen Rand (Schriftgröße 80 pt)
- [x] Projektsponsoren (Unternehmensname) und Titel des Projektes 
   - [x] prüfen ob Logo des Projektsponsors verwendbar 
   - [x] prüfen ob betreuenden Personen des Projektsponsors genannt werden dürfen
- [x] QR-Code der erlaubt die Demo aufzurufen (z.B. mit https://www.qrcode-monkey.com/de).
- [x] Teammitglieder nennen, außer nicht gewünscht, dann stellvertretend mit „n.n.“
- [x] Unterer Rand des Posters soll folgende Zeile haben: 
   - Softwareprojekt I + Projektmanagementpraktikum I – Sommersemester 2023 – Dozenten: Prof. Dr. Andreas Both, Tobias Höppner
- [x] 30-Jahre-Logo der HTWK Leipzig (https://www.htwk-leipzig.de/fileadmin/Redesign2019/HTWK_Logo/HTWK_Zusatz_de_H_Black_sRGB.svg)
- [x] A0 im Hochformat
- [x] Schriftgröße auf A0 (Orientierungswerte, immer abhängig von der tatsächlichen Lesbarkeit der Schriftart): 
   - Überschrift: ca. 80 pt
   - Zwischenüberschriften ca. 40 pt  
   - Text mindestens 20 pt",107,https://gitlab.dit.htwk-leipzig.de/live-stream-editor-zur-korrektur-von-untertiteln/documentation/-/issues/107,Closed,Benedikt Beigang,bbeigang,Benedikt Beigang,bbeigang,No,No,2023-07-10,2023-06-22 06:54:59,2023-07-09 21:28:16,2023-07-09 15:50:13,👂Sprint_03_1,5,Documentation,0,31500,76,MVP Features
Erstellung eines Videos,"Das Video wird bei der Abschlussveranstaltung ausgestellt. Bei der Abschlussveranstaltung dient es als ergänzende Projektpräsentation, die in sich geschlossen sein muss. Nachfolgend wird das Video auch auf der Webseite abgelegt.

Das Video soll die wichtigsten Aspekte des Projektes darstellen. Eine typische Struktur wäre eine Drittelung entsprechend den folgenden Inhalten:

- Motivation und Zielstellung (Warum?): Produktvision, verständliche Beschreibung der Aufgabe, wichtigsten Anforderungen und Ziele
- Umsetzung: Hier wird der Lösungsansatz und die technische Lösungsidee beschrieben. Wie (Methoden, Technologien) wird etwas gelöst? Welche Architektur wurde gewählt?
- Erkenntnisse, Ergebnisse und nächste Schritte (Was wurde erreicht?): aktuelle Funktionalitäten (User Stories), Screenshots, geplante Schritte, 

Überlegen Sie sich, was eine Person im Allgemeinen über das Projekt wissen sollte (Elevator Pitch) und die wichtigsten/herausragenden Aspekte Ihres Projektes. 

---

**Anmerkungen**

- Ohne Ton erlaubt
- Video geht in Bewertung (Präsentationsanteil) ein
- Verständliche Darstellung für verschiedene Nutzergruppen
- Bilder/Animationen sagen manchmal mehr als Worte
- Powerpoint erlaubt mit Audiokommentar (integrierter Video-Export)
- Synthetischen Stimmen erlaubt
- Gestaltung mit Corporate Designs überlegenswert: https://www.htwk-leipzig.de/intern/kommunikation-marketing/logo-und-vorlagen-im-corporate-design/#c95542 
- Nicht komplette Demo der Anwendung in Video zeigen. Lieber einige Aspekte langsam und verständlich zeigen

**DoD**
- [x] 6:00-6:30 Minuten lang
- [x] Format: 16x10, Auflösung: 1920x1200 
- [x] Code: MP4/H.264
- [x] Dateiname: Projektvideo_O.mp4
- [x] 10s **Start**-Darstellung und 5s **End**-Darstellung muss folgende Folie haben:
   - [x] Projektnamen
   - [x] Projektkürzel
   - [x] Projektsponsor
   - [x] Teammitglieder
   - [x] Logo der HTWK Leipzig 
   - [x] Modulreferenz
- [x] Projektsponsoren (Unternehmensname) und Titel des Projektes verbal genannt 
   - [x] Prüfen ob das Logo des Projektsponsors verwendet werden darf
   - [x] Namen der betreuenden Personen des Projektsponsors genannt werden darf
- [x] QR-Code der Demo aufruft (z.B. mit https://www.qrcode-monkey.com/de).
- [x] Am unteren Rand der Starteinstellung soll folgende Zeile dargestellt sein
   - Softwareprojekt I + Projektmanagementpraktikum I – Sommersemester 2023 – Dozenten: Prof. Dr. Andreas Both, Tobias Höppner
- [x] 30-Jahre-Logo der HTWK Leipzig https://www.htwk-leipzig.de/fileadmin/Redesign2019/HTWK_Logo/HTWK_Zusatz_de_H_Black_sRGB.svg 
- [x] Schriftgröße: Nutzen Sie keine Schriftgrößen kleiner als 11pt",108,https://gitlab.dit.htwk-leipzig.de/live-stream-editor-zur-korrektur-von-untertiteln/documentation/-/issues/108,Closed,Benedikt Beigang,bbeigang,Benedikt Beigang,bbeigang,No,No,2023-07-10,2023-06-22 07:06:40,2023-07-09 15:50:11,2023-07-09 15:50:11,👂Sprint_03_1,8,Documentation,0,87300,76,MVP Features
Audioverarbeitung in Backend und Frontend verstehen,"Als Entwickler benötige ich ein Verständis wie ich mit Audio-Streams in meiner Software umgehe, sodass ich die vom Kunden gewünschten Features die Audio beinhalten umsetzten kann.

---

**DoD**
- [x] Alle Teammitglieder haben sich unterschiedlichen Bereichen der Audioverarbeitung gewidmet
- [x] Die Erkenntnisse wurden im Meeting kommuniziert",109,https://gitlab.dit.htwk-leipzig.de/live-stream-editor-zur-korrektur-von-untertiteln/documentation/-/issues/109,Closed,Benedikt Beigang,bbeigang,"Benedikt Beigang, Finn Johann Romeis, Luca Noack, Christoph Neidahl, Chantal Bley, AMINE JEGANI, Luca Niklas Franke","bbeigang, fromeis, lnoack, cneidahl, cbley, ajegani, lfranke2",No,No,2023-06-22,2023-06-22 09:01:44,2023-07-01 12:37:08,2023-07-01 12:37:08,👂Sprint_03_1,2,"Backend,Frontend,Research",0,24600,78,Hören
Sprint_03_1 Planning - 22.06.2023,"Anlegen des Protokolls in Form vom Vorbereiten und Nachbereiten des Meetings.
Außerdem wird hier die Zeit erfasst die für die Teilnahme aufgewendet wurde.

**DoD**
- [x] Das Meeting hat stattgefunden
- [x] Das [Protokoll](https://gitlab.dit.htwk-leipzig.de/groups/live-stream-editor-zur-korrektur-von-untertiteln/-/wikis/Minutes/Sprint_03_1/2023_06_22SprintPlanning) ist erstellt und beinhaltet alle wichtigen Entscheidungen, Fragen und Antworten, sowie die für das Meeting relevante Agenda",110,https://gitlab.dit.htwk-leipzig.de/live-stream-editor-zur-korrektur-von-untertiteln/documentation/-/issues/110,Closed,Benedikt Beigang,bbeigang,Benedikt Beigang,bbeigang,No,No,,2023-06-22 17:31:49,2023-07-09 17:02:23,2023-06-26 13:54:48,👂Sprint_03_1,2,"Documentation,Meeting",0,75600,,
Dokumentation anlegen wie man in C# dokumentiert und Doxygen Doku anlegen,"

**DoD**
- [x] Es wurde eine Guideline erstellt für das kommentieren
- [x] Es wurde eine Doxygen Dokumentation angelegt",111,https://gitlab.dit.htwk-leipzig.de/live-stream-editor-zur-korrektur-von-untertiteln/documentation/-/issues/111,Closed,Benedikt Beigang,bbeigang,"Benedikt Beigang, AMINE JEGANI","bbeigang, ajegani",No,No,,2023-06-22 19:30:25,2023-07-09 17:11:28,2023-07-09 17:11:28,👂Sprint_03_1,1,"Backend,Documentation",0,36000,76,MVP Features
